chromosome	db	type	end5	end3	strand	gene_id	gene_id_up	strand_up	gene_id_down	strand_down
XV	StringTie	transcript	911472	912476	.	MSTRG.624	YOR317W	+	YOR319W	+
XV	StringTie	transcript	958317	959198	+	MSTRG.625	YOR338W	+	YOR340C	-
XV	StringTie	transcript	969517	970102	-	MSTRG.626	YOR343C	-	YOR343W-B	+
XV	StringTie	transcript	978619	979936	+	MSTRG.627	YOR344C	-	tP(UGG)O3	+
XV	StringTie	transcript	980883	981456	-	MSTRG.628	tP(UGG)O3	+	YOR345C	-
XV	StringTie	transcript	995022	995453	+	MSTRG.629	YOR351C	-	NA	NA
XV	StringTie	transcript	1003615	1004566	-	MSTRG.630	YOR354C	-	YOR355W	+
XV	StringTie	transcript	1003615	1004566	-	MSTRG.630	YOR354C	-	YOR355W	+
XV	StringTie	transcript	1019007	1020011	+	MSTRG.631	YOR362C	-	YOR363C	-
XV	StringTie	transcript	1024807	1025225	+	MSTRG.632	YOR365C	-	YOR366W	+
XV	StringTie	transcript	1044415	1045163	-	MSTRG.633	YOR376W	+	YOR376W-A	+
XV	StringTie	transcript	1070250	1070916	-	MSTRG.634	YOR387C	-	YOR388C	-
XV	StringTie	transcript	1073266	1073834	+	MSTRG.635	YOR388C	-	YOR389W	+
XVI	StringTie	transcript	2362	7171	+	MSTRG.636	YPL283W-A	+	YPL282C	-
XVI	StringTie	transcript	19705	22738	-	MSTRG.637	YPL275W	+	YPL274W	+
XVI	StringTie	transcript	29497	29841	-	MSTRG.638	YPL272C	-	YPL271W	+
XVI	StringTie	transcript	46581	47179	-	MSTRG.639	YPL263C	-	YPL262W	+
XVI	StringTie	transcript	52942	53425	+	MSTRG.640	YPL259C	-	YPL258C	-
XVI	StringTie	transcript	114894	115218	+	MSTRG.641	YPL231W	+	YPL230W	+
XVI	StringTie	transcript	128255	128507	+	MSTRG.642	YPL224C	-	YPL223C	-
XVI	StringTie	transcript	129455	129744	+	MSTRG.643	YPL223C	-	YPL222W	+
XVI	StringTie	transcript	132293	132719	-	MSTRG.644	YPL222C-A	-	YPL221W	+
XVI	StringTie	transcript	143390	143726	+	MSTRG.645	YPL217C	-	YPL216W	+
XVI	StringTie	transcript	197969	198900	-	MSTRG.646	YPL184C	-	YPL183W-A	+
XVI	StringTie	transcript	214041	215917	+	MSTRG.647	YPL177C	-	YPL176C	-
XVI	StringTie	transcript	227717	228137	-	MSTRG.648	YPL171C	-	YPL170W	+
XVI	StringTie	transcript	238842	239151	+	MSTRG.649	YPL165C	-	YPL164C	-
XVI	StringTie	transcript	243091	244275	+	MSTRG.650	YPL163C	-	YPL161C	-
XVI	StringTie	transcript	286567	287456	+	MSTRG.651	YPL141C	-	YPL140C	-
XVI	StringTie	transcript	296930	297313	-	MSTRG.652	YPL136W	+	YPL135W	+
XVI	StringTie	transcript	324260	324684	+	MSTRG.653	YPL119C-A	-	NA	NA
XVI	StringTie	transcript	339011	339358	-	MSTRG.654	tM(CAU)P	-	YPL111W	+
XVI	StringTie	transcript	347662	349074	-	MSTRG.655	YPL109C	-	YPL107W	+
XVI	StringTie	transcript	368727	369556	+	MSTRG.656	YPL095C	-	YPL094C	-
XVI	StringTie	transcript	443172	444336	-	MSTRG.657	YPL060C-A	-	YPL059W	+
XVI	StringTie	transcript	445161	445604	-	MSTRG.658	YPL059W	+	YPL058C	-
XVI	StringTie	transcript	466262	466668	+	MSTRG.659	YPL047W	+	YPL045W	+
XVI	StringTie	transcript	482339	482857	-	MSTRG.660	YPL037C	-	NA	NA
XVI	StringTie	transcript	510289	510593	+	MSTRG.661	YPL022W	+	YPL021W	+
XVI	StringTie	transcript	544049	544386	+	MSTRG.662	YPL007C	-	YPL006W	+
XVI	StringTie	transcript	567220	569122	+	MSTRG.663	YPR005C	-	YPR007C	-
XVI	StringTie	transcript	575533	576499	-	MSTRG.664	YPR008W	+	YPR009W	+
XVI	StringTie	transcript	581399	581963	-	MSTRG.665	YPR010C	-	tK(CUU)P	+
XVI	StringTie	transcript	586348	589880	+	MSTRG.666	YPR013C	-	YPR015C	-
XVI	StringTie	transcript	593414	594081	+	MSTRG.667	YPR016W-A	+	YPR018W	+
XVI	StringTie	transcript	619598	619972	-	MSTRG.668	YPR026W	+	YPR027C	-
XVI	StringTie	transcript	620029	622006	+	MSTRG.669	YPR026W	+	tF(GAA)P2	-
XVI	StringTie	transcript	627427	627724	-	MSTRG.670	YPR029C	-	YPR030W	+
XVI	StringTie	transcript	641680	642116	-	MSTRG.671	YPR034W	+	YPR035W	+
XVI	StringTie	transcript	678531	678791	+	MSTRG.672	YPR063C	-	YPR064W	+
XVI	StringTie	transcript	678652	679629	-	MSTRG.673	YPR063C	-	YPR065W	+
XVI	StringTie	transcript	681109	682090	-	MSTRG.674	YPR065W	+	YPR067W	+
XVI	StringTie	transcript	683927	684391	+	MSTRG.675	YPR068C	-	YPR069C	-
XVI	StringTie	transcript	697052	698544	+	MSTRG.676	YPR076W	+	YPR079W	+
XVI	StringTie	transcript	780370	781741	-	MSTRG.677	YPR121W	+	YPR122W	+
XVI	StringTie	transcript	812480	812742	-	MSTRG.678	YPR138C	-	YPR139C	-
XVI	StringTie	transcript	828262	829611	-	MSTRG.679	YPR148C	-	YPR149W	+
XVI	StringTie	transcript	833824	834251	-	MSTRG.680	YPR153W	+	YPR154W	+
XVI	StringTie	transcript	840158	840647	+	MSTRG.681	YPR156C	-	YPR157W	+
XVI	StringTie	transcript	920840	922882	-	MSTRG.682	YPR191W	+	YPR193C	-
XVI	StringTie	transcript	926964	931331	-	MSTRG.683	YPR194C	-	YPR196W	+
XVI	StringTie	transcript	935806	938057	-	MSTRG.684	YPR198W	+	YPR199C	-
